# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
ping guo wai 	評國外	c=1 d=2.62635e-242 t=125272
ping he 	平和	c=1 d=3.60747e-241 t=125272
ping hua 	平滑	c=1 d=5.91498e-88 t=125272
ping jia 	評價	c=9 d=1.48457e-72 t=125272
ping jun 	平均	c=2 d=3.96666e-05 t=125272
ping le 	平樂	c=2 d=4.32127e-218 t=125272
ping lun 	評論	c=22 d=0.0587414 t=125272
ping mi 	平米	c=2 d=2.15054e-126 t=125272
ping mian 	平面	c=1 d=6.63182e-169 t=125272
ping mu 	屏幕	c=21 d=0.00125663 t=125272
ping mu mo 	屏幕膜	c=1 d=3.35272e-203 t=125272
ping mu xiao 	屏幕小	c=2 d=1.01677e-70 t=125272
ping ri 	平日	c=1 d=5.54899e-160 t=125272
ping shi 	平時	c=4 d=0.239309 t=125272
ping tai 	平臺	c=5 d=0.131723 t=125272
ping tan 	平攤	c=1 d=2.10924e-45 t=125272
ping tu 	憑塗	c=1 d=9.731e-180 t=125272
ping yin 	平陰	c=1 d=6.64722e-255 t=125272
ping zi 	瓶子	c=1 d=1.10368e-131 t=125272
po 	潑	c=5 d=1.86686e-50 t=125272
po 	破	c=3 d=1.58873e-06 t=125272
po chan 	破產	c=6 d=1.81834e-05 t=125272
po fang zi 	破房子	c=1 d=1.59668e-05 t=125272
po huai 	破壞	c=1 d=6.76072e-29 t=125272
po huai wang 	破壞忘	c=1 d=2.26456e-28 t=125272
po huai wang 	破壞王	c=1 d=2.31031e-28 t=125272
po huai wu 	破壞無	c=1 d=2.21972e-28 t=125272
po ji e 	潑飢餓	c=1 d=4.34882e-87 t=125272
po jie 	破解	c=3 d=4.38384e-05 t=125272
po kou da ma 	破口大罵	c=1 d=2.19729e-173 t=125272
po mo 	潑墨	c=2 d=1.46114e-70 t=125272
po po 	婆婆	c=2 d=2.11221e-53 t=125272
po shui jie 	潑水節	c=4 d=2.03696e-158 t=125272
po xiao 	破曉	c=1 d=2.27848e-100 t=125272
po you 	頗有	c=0 d=1.97827e-174 t=125272
po you wei ci 	頗有微詞	c=1 d=1.98818e-173 t=125272
po zhe hao 	破折號	c=1 d=1.78477e-21 t=125272
pu 	噗	c=49 d=0.00133722 t=125272
pu 	普	c=2 d=3.34519e-59 t=125272
pu 	譜	c=0 d=8.70486e-76 t=125272
pu dao 	撲到	c=1 d=8.98612e-08 t=125272
pu li ce 	普利策	c=1 d=3.51669e-59 t=125272
pu luo 	普羅	c=0 d=4.81289e-75 t=125272
pu luo mi 	普羅米	c=3 d=1.03555e-21 t=125272
pu shu 	朴樹	c=1 d=6.47334e-61 t=125272
pu tao jiu 	葡萄酒	c=1 d=6.4903e-33 t=125272
pu tong 	普通	c=13 d=5.38311e-09 t=125272
pu tong hua 	普通話	c=3 d=3.7932e-214 t=125272
pu zi 	譜子	c=1 d=2.82558e-73 t=125272
pu zi 	鋪子	c=1 d=2.81149e-73 t=125272
qi 	七	c=2 d=2.82443e-178 t=125272
qi 	其	c=3 d=2.7872 t=124708
qi 	器	c=0 d=8.35217e-60 t=125272
qi 	旗	c=2 d=1.29276e-146 t=125272
qi 	期	c=4 d=3.86926e-36 t=125272
qi 	氣	c=6 d=8.54966e-128 t=125272
qi 	漆	c=1 d=4.43936e-06 t=125272
qi 	祁	c=1 d=1.71333e-11 t=125272
qi 	起	c=24 d=9.75642e-05 t=125272
qi 	騎	c=1 d=0.499074 t=125272
qi 	齊	c=2 d=2.40365e-229 t=125272
qi bu shi 	豈不是	c=1 d=1 t=124725
qi cai 	七彩	c=2 d=4.31227e-09 t=125272
qi chang 	氣場	c=2 d=1.62713e-215 t=125272
qi che 	汽車	c=1 d=1.04457e-13 t=125272
qi che 	騎車	c=9 d=0.000126534 t=125272
qi cheng 	啓程	c=2 d=1.24152e-184 t=125272
qi chuang 	起牀	c=29 d=0.000448321 t=125272
qi dai 	期待	c=8 d=1.29266e-20 t=125272
qi dong 	啓動	c=6 d=0.0333736 t=125272
qi e 	企鵝	c=5 d=7.47528e-125 t=125272
qi eh 	起誒	c=1 d=5.15187e-110 t=125272
qi fen 	氣氛	c=1 d=2.26196e-132 t=125272
qi fu 	欺負	c=3 d=1.73343e-60 t=125272
qi guai 	奇怪	c=7 d=3.07635e-44 t=125272
qi guan yan 	氣管炎	c=1 d=0.0480747 t=125272
qi hao 	七號	c=1 d=3.55846e-139 t=125272
qi hou 	氣候	c=2 d=4.79887e-179 t=125272
qi huan 	奇幻	c=3 d=2.52972e-121 t=125272
qi jian 	期間	c=1 d=4.72225e-115 t=125272
qi lai 	起來	c=19 d=0.000921047 t=125272
qi pa 	奇葩	c=1 d=1 t=124929
qi qi 	齊齊	c=2 d=1.01253 t=124107
qi qi ha er 	齊齊哈爾	c=1 d=1 t=123288
qi quan 	期權	c=16 d=1.2257e-05 t=125272
qi quan 	棄權	c=1 d=0.143704 t=125272
qi quan 	齊全	c=1 d=0.144424 t=125272
qi shi 	其實	c=63 d=0.331426 t=125272
qi shi 	啓示	c=1 d=2.50881e-174 t=125272
qi shi 	歧視	c=1 d=9.42345e-67 t=125272
qi shi 	起始	c=1 d=4.33773e-57 t=125272
qi si 	氣死	c=3 d=2.305e-236 t=125272
qi ta 	其他	c=25 d=0.054204 t=125272
qi ta 	其它	c=37 d=0.687289 t=125272
qi ta ren 	其他人	c=1 d=3.05414e-47 t=125272
qi tian 	七天	c=4 d=6.41786e-137 t=125272
qi wan 	悽婉	c=1 d=1.4312e-100 t=125272
qi wang 	期望	c=6 d=9.5994e-71 t=125272
qi wen 	氣溫	c=1 d=8.48767e-160 t=125272
qi wu 	起舞	c=1 d=0.00292342 t=125272
qi xi 	氣息	c=2 d=7.67598e-07 t=125272
qi xing 	騎行	c=1 d=1.58542e-10 t=125272
qi ye 	企業	c=2 d=0.38868 t=125272
qi yi 	奇異	c=10 d=1.31806e-94 t=125272
qi yi lai 	奇異來	c=1 d=7.83669e-133 t=125272
qi yong 	啓用	c=11 d=5.04246e-34 t=125272
qi yu 	其餘	c=7 d=6.69386e-14 t=125272
qi yu 	奇遇	c=1 d=3.5506e-113 t=125272
qi yu ta 	其餘他	c=1 d=6.70755e-38 t=125272
qi yue 	七月	c=2 d=3.11045e-56 t=125272
qi zhi 	氣質	c=3 d=2.59897e-207 t=125272
qi zhong 	其中	c=14 d=0.0036443 t=125272
qi zi 	妻子	c=1 d=1.68433e-163 t=125272
qi zong 	氣宗	c=4 d=1.78501e-52 t=125272
qia 	卡	c=2 d=1.46438e-105 t=125272
qian 	欠	c=6 d=0.000134662 t=125272
qian 	簽	c=9 d=0.000457074 t=125272
qian 	錢	c=6 d=0.0739548 t=125272
qian bian 	欠扁	c=1 d=1 t=124075
qian hou 	前後	c=2 d=0.0413782 t=125272
qian jia 	錢夾	c=1 d=0.07502 t=125272
qian mian 	前面	c=2 d=0.0405589 t=125272
qian ming 	簽名	c=2 d=0.0085871 t=125272
qian nian 	千年	c=1 d=0.640641 t=123383
qian nian guo ke 	千年果殼	c=1 d=1 t=123384
qian wan 	千萬	c=1 d=1 t=125200
qian zi 	簽字	c=1 d=1 t=123469
qiang 	搶	c=1 d=0.000247277 t=125272
qiang da 	強大	c=1 d=0.00065886 t=125272
qiang dao 	搶到	c=3 d=0.00161405 t=125272
qiang lie 	強烈	c=2 d=0.182684 t=125272
qiang piao 	搶票	c=1 d=2.24325e-05 t=125272
qiang tui 	強推	c=2 d=7.11018e-09 t=125272
qiao ke li 	巧克力	c=1 d=2.17207e-08 t=125272
qie 	切	c=1 d=3.78297e-06 t=125272
qie hui 	切回	c=2 d=3.91772e-06 t=125272
qie pian 	切片	c=2 d=3.22695e-56 t=125272
qie tu 	且圖	c=1 d=1.54109e-88 t=125272
qie tu 	切圖	c=19 d=1.27292e-25 t=125272
qie zi 	茄子	c=1 d=6.27872e-214 t=125272
qin 	琴	c=4 d=2.73714e-140 t=125272
qin 	芩	c=1 d=2.73135e-27 t=125272
qin 	親	c=62 d=0.0459593 t=125272
qin ai 	親愛	c=9 d=1.34139e-08 t=125272
qin ai de 	親愛的	c=1 d=1.20655e-150 t=125272
qin cai 	芹菜	c=1 d=3.70976e-21 t=125272
qin cai niu rou 	芹菜牛肉	c=1 d=3.43593e-21 t=125272
qin dao 	親到	c=1 d=2.14004e-186 t=125272
qin huang dao 	秦皇島	c=2 d=1.31778e-188 t=125272
qin kuai 	勤快	c=2 d=4.15647e-143 t=125272
qin mi 	親密	c=1 d=1.69994e-242 t=125272
qin pu 	琴譜	c=0 d=6.71947e-148 t=125272
qin qi 	親戚	c=1 d=1.80142e-42 t=125272
qin qiu 	親球	c=1 d=1.45818e-202 t=125272
qin shou 	禽獸	c=1 d=6.67317e-07 t=125272
qin shu 	親屬	c=5 d=7.86736e-32 t=125272
qin yi 	琴藝	c=1 d=8.00649e-238 t=125272
qing 	情	c=2 d=3.53722e-98 t=125272
qing 	清	c=5 d=1.11e-110 t=125272
qing 	請	c=112 d=0.02334 t=125272
qing 	輕	c=2 d=4.62754e-242 t=125272
qing 	青	c=4 d=1.11556e-110 t=125272
qing a 	請啊	c=1 d=9.49297e-124 t=125272
qing an 	請按	c=2 d=1.89707e-33 t=125272
qing che shu lu 	輕車熟路	c=1 d=0.588605 t=125272
qing chen 	清晨	c=1 d=1.81384e-64 t=125272
qing cheng shan 	青城山	c=2 d=9.43356e-05 t=125272
qing chu 	清楚	c=15 d=0.440432 t=125272
qing chu 	清除	c=7 d=0.878688 t=125272
qing chun 	清純	c=5 d=3.57239e-39 t=125272
qing chun 	青春	c=4 d=7.5996e-07 t=125272
qing cuan 	請竄	c=1 d=1.63951e-228 t=125272
qing dan 	清單	c=5 d=2.43515e-29 t=125272
qing dan 	清淡	c=1 d=1.12176e-87 t=125272
qing dao 	青島	c=50 d=4.44238e-14 t=125272
qing diao 	情調	c=1 d=1.74344e-157 t=125272
qing du 	輕度	c=1 d=1.30163e-160 t=125272
qing fa 	請發	c=1 d=0.0194482 t=125272
qing fan 	請飯	c=1 d=3.55385e-65 t=125272
qing fan qi 	請泛起	c=1 d=2.61056e-83 t=125272
qing fan qie 	青番茄	c=5 d=2.35198e-82 t=125272
qing ge 	情歌	c=1 d=2.55555e-09 t=125272
qing hai 	青海	c=8 d=4.05688e-93 t=125272
qing hai hu 	青海湖	c=4 d=0.868717 t=125272
qing he yi kan 	情何以堪	c=1 d=1 t=125117
qing hua 	清華	c=6 d=5.01816e-36 t=125272
qing hua 	青花	c=1 d=4.99313e-36 t=125272
qing hua bei da 	清華北大	c=2 d=8.01765e-225 t=125272
qing hua ke ji yuan 	清華科技園	c=1 d=5.55353e-199 t=125272
qing hua tong fang 	清華同方	c=1 d=3.40268e-83 t=125272
qing hun 	請混	c=1 d=3.92084e-221 t=125272
qing jia 	請假	c=19 d=0.0455083 t=125272
qing jia ai 	請假哎	c=1 d=2.09539e-232 t=125272
qing jiao 	青椒	c=2 d=5.82475e-113 t=125272
qing jie 	情節	c=2 d=1.91784e-161 t=125272
qing ke 	請客	c=1 d=2.13153e-51 t=125272
qing kong 	清空	c=1 d=9.83853e-221 t=125272
qing kuang 	情況	c=21 d=0.814647 t=125272
qing lang 	晴朗	c=1 d=2.30678e-10 t=125272
qing li 	清理	c=1 d=3.19247e-215 t=125272
qing long 	青龍	c=1 d=1.9069e-35 t=125272
qing lv 	情侶	c=3 d=1.24503e-146 t=125272
qing lv 	青旅	c=13 d=1.63325e-104 t=125272
qing lv bu 	情侶不	c=1 d=3.07229e-146 t=125272
qing ni 	請你	c=1 d=2.86846e-15 t=125272
qing nian 	青年	c=8 d=1.98319e-70 t=125272
qing nian lv she 	青年旅社	c=2 d=1.65146e-146 t=125272
qing qing 	輕輕	c=3 d=1.70996e-06 t=125272
qing qiu 	請求	c=50 d=1.04593e-11 t=125272
qing ren 	請人	c=1 d=2.70354e-83 t=125272
qing shi 	請示	c=1 d=9.97702e-209 t=125272
qing shu 	情書	c=0 d=7.82952e-182 t=125272
qing shui 	請水	c=1 d=3.31869e-230 t=125272
qing song 	輕鬆	c=11 d=1.63317e-06 t=125272
qing tian 	晴天	c=2 d=4.28261e-83 t=125272
qing wa 	青蛙	c=2 d=8.71673e-91 t=125272
qing wan 	清玩	c=1 d=6.28869e-191 t=125272
qing wen 	請問	c=8 d=0.00257991 t=125272
qing wo 	請我	c=1 d=1.7466e-237 t=125272
qing xi 	清晰	c=3 d=5.36977e-68 t=125272
qing xian 	清閒	c=2 d=1.26109e-82 t=125272
qing xiang 	傾向	c=2 d=3.17824e-45 t=125272
qing xing 	清醒	c=1 d=6.72933e-223 t=125272
qing xu 	情緒	c=3 d=1.39136e-62 t=125272
qing yi 	輕易	c=1 d=5.63088e-09 t=125272
qing yi zhou 	請一週	c=1 d=1.1662e-191 t=125272
qing zang 	青藏	c=2 d=3.05395e-105 t=125272
qing zang xian 	青藏線	c=2 d=2.17897e-104 t=125272
qing zao 	清早	c=1 d=2.06566e-64 t=125272
qing zhong 	輕重	c=3 d=5.28713e-62 t=125272
qing zhu 	慶祝	c=1 d=5.31363e-62 t=125272
qiong 	窮	c=3 d=0.00391639 t=125272
qiong cuo chou 	窮挫丑	c=1 d=2.58882e-161 t=125272
qiong feng le 	窮瘋了	c=1 d=1 t=124625
qiong you 	窮有	c=4 d=3.19451e-105 t=125272
qiu 	求	c=21 d=0.0017324 t=125272
qiu 	球	c=27 d=0.00168263 t=125272
qiu 	秋	c=3 d=8.80807e-39 t=125272
qiu bao yang 	求包養	c=1 d=4.4559e-226 t=125272
qiu hun 	求婚	c=3 d=5.98784e-09 t=125272
qiu ji 	秋季	c=2 d=0.00381048 t=125272
qiu jian 	求撿	c=3 d=4.42558e-84 t=125272
qiu ku 	秋褲	c=1 d=0.00158052 t=125272
qiu sheng 	求生	c=0 d=6.07446e-196 t=125272
qiu tian 	秋天	c=8 d=3.55517e-40 t=125272
qiu zheng 	求證	c=1 d=2.21213e-164 t=125272
qiu zhi 	求職	c=3 d=3.21325e-115 t=125272
qu 	區	c=19 d=0.00109461 t=125272
qu 	去	c=886 d=1.72454 t=125272
qu 	取	c=77 d=0.0963276 t=125272
qu 	娶	c=3 d=7.28524e-10 t=125272
qu 	曲	c=1 d=1.20458e-72 t=125272
qu 	軀	c=0 d=7.579e-123 t=125272
qu ba 	去吧	c=9 d=4.06769e-05 t=125272
qu bei 	曲背	c=1 d=3.4726e-87 t=125272
qu bie 	區別	c=39 d=2.01069e-11 t=125272
qu bo 	曲薄	c=2 d=7.86016e-43 t=125272
qu bu 	曲阜	c=1 d=2.1942e-39 t=125272
qu bu le 	去不了	c=1 d=2.49613e-232 t=125272
qu bu qu 	去不去	c=2 d=0.00165201 t=125272
qu cheng 	去成	c=1 d=3.06446e-116 t=125272
qu chi 	去吃	c=1 d=4.80322e-21 t=125272
qu chu 	取出	c=2 d=1.81415e-66 t=125272
qu chu lai 	取出來	c=1 d=3.18332e-05 t=125272
qu ci 	取詞	c=2 d=2.75402e-36 t=125272
qu dao 	區到	c=1 d=1.99495e-66 t=125272
qu dao 	去到	c=3 d=3.95024e-66 t=125272
qu de 	取得	c=3 d=3.32962e-63 t=125272
qu diao 	去掉	c=13 d=0.0713613 t=125272
qu dong 	驅動	c=5 d=2.36965e-89 t=125272
qu fan 	去飯	c=1 d=1.47924e-18 t=125272
qu fang 	曲房	c=1 d=2.31929e-103 t=125272
qu fen 	區分	c=11 d=0.00017956 t=125272
qu ge 	取個	c=1 d=3.00183e-79 t=125272
qu guo 	去過	c=18 d=4.96754e-05 t=125272
qu guo 	取過	c=1 d=9.26902e-196 t=125272
qu jin 	趨近	c=1 d=6.09848e-212 t=125272
qu kan 	去看	c=1 d=2.74188e-131 t=125272
qu mu 	曲目	c=1 d=2.97317e-25 t=125272
qu na 	去哪	c=1 d=1.24008e-149 t=125272
qu na er 	去哪兒	c=15 d=3.60601e-138 t=125272
qu nian 	去年	c=19 d=3.8707e-11 t=125272
qu ning 	去寧	c=1 d=1.70768e-31 t=125272
qu nuan 	取暖	c=1 d=9.02576e-236 t=125272
qu qu 	區區	c=1 d=1.53033e-182 t=125272
qu shi 	趨勢	c=3 d=2.75927e-29 t=125272
qu si 	去死	c=5 d=6.47485e-05 t=125272
qu wei 	趣味	c=1 d=2.43291e-48 t=125272
qu xi 	去洗	c=0 d=1.86573e-132 t=125272
qu xia 	取下	c=0 d=1.06047e-74 t=125272
qu xia lai 	取下來	c=1 d=1.06578e-73 t=125272
qu xian 	曲線	c=1 d=6.19065e-212 t=125272
qu xiao 	取消	c=24 d=2.06425e-56 t=125272
qu xiao dai ma 	取消代碼	c=1 d=1.17785e-249 t=125272
qu xie 	去寫	c=1 d=5.73431e-76 t=125272
qu xiu 	去休	c=1 d=4.25345e-179 t=125272
qu yu 	區域	c=3 d=2.99489e-233 t=125272
qu yue 	取悅	c=1 d=8.02936e-154 t=125272
qu zhi 	取值	c=2 d=0.0111647 t=125272
qu zhu 	去住	c=1 d=3.54761e-250 t=125272
qu zhu 	驅逐	c=1 d=3.52992e-250 t=125272
qu zi 	曲子	c=5 d=4.93169e-08 t=125272
quan 	全	c=34 d=0.0683367 t=125272
quan 	券	c=0 d=8.81425e-164 t=125272
quan 	圈	c=4 d=2.57668e-98 t=125272
quan bu 	全部	c=51 d=0.710595 t=125272
quan dou 	全都	c=1 d=1.73693e-113 t=125272
quan er 	圈兒	c=1 d=1.30366e-149 t=125272
quan gan 	全乾	c=1 d=1.47343e-148 t=125272
quan guo 	全國	c=5 d=7.30624e-05 t=125272
quan ji 	全集	c=1 d=8.01076e-68 t=125272
quan ji 	拳擊	c=1 d=2.54672e-174 t=125272
quan jiao 	全角	c=2 d=2.68682e-55 t=125272
quan li 	權利	c=2 d=3.53985e-48 t=125272
quan li 	權力	c=1 d=3.57543e-48 t=125272
quan luo 	全裸	c=3 d=1.62499e-253 t=125272
quan mian 	全面	c=3 d=1.20635e-148 t=125272
quan pin 	全拼	c=2 d=0.740818 t=125272
quan ping 	全屏	c=1 d=3.58579e-82 t=125272
quan shen 	全身	c=3 d=1.16526e-05 t=125272
quan shen teng 	全身疼	c=1 d=2.89581e-09 t=125272
quan shi 	全市	c=8 d=8.98459e-06 t=125272
quan shi 	全是	c=2 d=1.87227e-84 t=125272
quan tao 	全套	c=1 d=0.00078095 t=125272
quan tian 	全天	c=3 d=3.95777e-08 t=125272
quan tou ming 	全透明	c=1 d=3.72856e-12 t=125272
quan wei 	權威	c=1 d=5.75306e-85 t=125272
quan xian 	全線	c=1 d=4.44768e-28 t=125272
quan xian 	權限	c=6 d=1.65265e-28 t=125272
quan xin 	全新	c=0 d=3.51542e-232 t=125272
quan xin a 	全新啊	c=1 d=3.53304e-231 t=125272
quan ye cha 	犬夜叉	c=3 d=1.28712e-142 t=125272
quan yu 	痊癒	c=1 d=5.44617e-234 t=125272
quan zhan 	全站	c=1 d=0.00451658 t=125272
quan zi li 	圈子裏	c=1 d=9.78247e-242 t=125272
que 	缺	c=7 d=1.41512e-103 t=125272
que dian 	缺點	c=5 d=3.32464e-16 t=125272
que ding 	確定	c=11 d=0.0518189 t=125272
que fa 	缺乏	c=2 d=6.4002e-45 t=125272
que huo 	缺貨	c=1 d=6.60753e-214 t=125272
que ren 	確認	c=19 d=1.70919e-12 t=125272
que shao 	缺少	c=1 d=9.22093e-223 t=125272
que shi 	確實	c=18 d=1.8883 t=125272
que tu 	缺土	c=1 d=3.30404e-178 t=125272
que xian 	缺陷	c=2 d=3.72867e-34 t=125272
que xin 	確信	c=10 d=0.923116 t=125272
qun 	羣	c=8 d=2.8131e-21 t=125272
qun dai 	裙帶	c=1 d=4.23887e-168 t=125272
qun fa 	羣發	c=3 d=2.75363e-230 t=125272
qun li 	羣裏	c=1 d=1.05121e-205 t=125272
qun zhong 	羣衆	c=1 d=1.37751e-62 t=125272
qun zu 	羣組	c=1 d=4.24288e-91 t=125272
ran 	染	c=3 d=1.09098e-129 t=125272
ran 	然	c=14 d=1.13575e-48 t=125272
ran 	燃	c=1 d=3.51957e-98 t=125272
ran fa ji 	染髮劑	c=1 d=1.30619e-113 t=125272
ran gei 	然給	c=1 d=1.42483e-77 t=125272
ran hou 	然後	c=259 d=0.776183 t=125272
ran hou fei ben 	然後飛奔	c=1 d=2.39654e-253 t=125272
ran hui 	然會	c=1 d=2.38838e-66 t=125272
ran ran 	染染	c=1 d=1.07548e-150 t=125272
ran shao 	燃燒	c=1 d=3.48455e-98 t=125272
ran yong 	然用	c=1 d=4.45919e-29 t=125272
ran you 	燃油	c=1 d=3.93538e-147 t=125272
ran zhe 	然這	c=1 d=0.000578542 t=125272
rang 	讓	c=289 d=3.98778 t=125272
rang ni 	讓你	c=4 d=5.30459e-22 t=125272
rang rang 	嚷嚷	c=1 d=3.08927e-152 t=125272
rang rang 	讓讓	c=1 d=3.10475e-152 t=125272
rang re 	讓熱	c=1 d=5.74231e-63 t=125272
rang wo 	讓我	c=6 d=2.51391e-14 t=125272
rang zhe 	讓這	c=1 d=2.9386e-152 t=125272
rang zuo 	讓座	c=1 d=1.09025e-134 t=125272
rao 	繞	c=3 d=5.06601e-30 t=125272
rao dao 	繞道	c=1 d=1.25357e-188 t=125272
rao le 	饒了	c=1 d=1.23071e-148 t=125272
re 	惹	c=2 d=6.32493e-141 t=125272
re 	熱	c=18 d=2.12437e-129 t=125272
re ai 	熱愛	c=3 d=4.65785e-20 t=125272
re he 	熱河	c=1 d=8.58403e-87 t=125272
re men 	熱門	c=6 d=8.65759e-11 t=125272
re nao 	熱鬧	c=1 d=2.18126e-87 t=125272
re qing 	熱情	c=1 d=1.59566e-115 t=125272
re shen 	熱身	c=1 d=3.32047e-60 t=125272
re shui 	熱水	c=1 d=4.95493e-122 t=125272
re sou 	熱搜	c=2 d=2.16707e-43 t=125272
re xin 	熱心	c=1 d=1.73069e-247 t=125272
ren 	人	c=289 d=1.44066 t=125272
ren 	忍	c=5 d=1.3294e-85 t=125272
ren 	韌	c=1 d=5.7298e-08 t=125272
ren ai lu 	仁愛路	c=0 d=0.1 t=124509
ren bie 	人別	c=1 d=3.97033e-104 t=125272
ren bu zhu 	忍不住	c=1 d=1.50739e-122 t=125272
ren cai 	人才	c=6 d=1.74218e-31 t=125272
ren da 	人大	c=1 d=4.81094e-128 t=125272
ren de 	認得	c=1 d=1.14821e-67 t=125272
ren duo 	人多	c=3 d=2.61295e-35 t=125272
ren gong 	人工	c=5 d=9.34225e-21 t=125272
ren gou 	認購	c=1 d=8.86296e-169 t=125272
ren he 	任何	c=8 d=7.52758e-42 t=125272
ren hu 	人胡	c=1 d=1.81101e-75 t=125272
ren jia 	人家	c=49 d=0.0531307 t=125272
ren jia ai 	人家哎	c=2 d=1.00786e-92 t=125272
ren jia mei 	人家沒	c=1 d=3.85299e-104 t=125272
ren jian 	人間	c=2 d=1.46792e-104 t=125272
ren ju 	人居	c=1 d=1.9643e-31 t=125272
ren kou 	人口	c=1 d=1.69069e-31 t=125272
ren lai 	人來	c=4 d=4.56508e-11 t=125272
ren lao 	人老	c=1 d=2.17918e-17 t=125272
ren lei 	人類	c=3 d=6.03522e-26 t=125272
ren me 	恁麼	c=2 d=7.81697e-37 t=125272
ren men 	人們	c=3 d=0.0028799 t=125272
ren min 	人民	c=9 d=3.84407e-18 t=125272
ren min bi 	人民幣	c=2 d=0.00278085 t=125272
ren min lu 	人民路	c=1 d=3.17341e-174 t=125272
ren ming 	人名	c=2 d=2.68976e-181 t=125272
ren ming 	任命	c=1 d=1.27494e-181 t=125272
ren nai 	忍耐	c=2 d=2.61439e-159 t=125272
ren ne 	人呢	c=5 d=5.70461e-18 t=125272
ren pin 	人品	c=2 d=2.28382e-10 t=125272
ren qi 	人氣	c=1 d=7.83061e-212 t=125272
ren qing 	認清	c=1 d=3.31181e-235 t=125272
ren qun zhong 	人羣中	c=1 d=6.92226e-232 t=125272
ren ran 	荏苒	c=1 d=7.33649e-63 t=125272
ren ren 	人人	c=8 d=0.000341031 t=125272
ren ren wang 	人人網	c=1 d=1.83587e-59 t=125272
ren rou 	人肉	c=1 d=2.44976e-41 t=125272
ren shao 	人少	c=2 d=7.72503e-133 t=125272
ren shen 	妊娠	c=1 d=8.6665e-170 t=125272
ren sheng 	人生	c=6 d=5.73352e-45 t=125272
ren shi 	人士	c=3 d=8.59217e-10 t=125272
ren shi 	認識	c=47 d=0.112479 t=125272
ren shi zhi 	認識之	c=1 d=4.28702e-242 t=125272
ren shou 	忍受	c=1 d=1.20894e-232 t=125272
ren shu 	人數	c=9 d=6.93466e-18 t=125272
ren suo 	人所	c=1 d=7.8615e-82 t=125272
ren wan 	人玩	c=1 d=9.75911e-67 t=125272
ren wei 	人爲	c=1 d=5.59785e-28 t=125272
ren wei 	認爲	c=10 d=2.46363e-11 t=125272
ren wei ne 	認爲呢	c=1 d=6.09414e-233 t=125272
ren wen 	人文	c=1 d=9.80803e-67 t=125272
ren wu 	任務	c=14 d=9.61607e-11 t=125272
ren xing hua 	人性化	c=1 d=1.95101e-245 t=125272
ren xuan 	人選	c=1 d=0.477114 t=125272
ren yan 	人眼	c=1 d=1.08702e-11 t=125272
ren yi 	任意	c=1 d=7.72166e-253 t=125272
ren yu 	人魚	c=0 d=1.30587e-23 t=125272
ren yu ren 	人與人	c=1 d=4.89525e-09 t=125272
ren yu xian 	人魚線	c=1 d=1.31242e-22 t=125272
ren yuan 	人員	c=1 d=9.3062e-08 t=125272
ren yue shen hua 	人月神話	c=2 d=9.71451e-240 t=125272
ren zhe 	忍者	c=1 d=1.3899e-226 t=125272
ren zhen 	認真	c=9 d=9.72472e-08 t=125272
ren zheng 	認證	c=6 d=1.23669e-41 t=125272
ren zhi 	認知	c=4 d=1.2975e-80 t=125272
ren zhong 	人種	c=1 d=1.32531e-225 t=125272
ren zhu 	忍住	c=2 d=1.41123e-83 t=125272
reng 	扔	c=9 d=5.92636e-26 t=125272
reng diao 	扔掉	c=1 d=8.74737e-191 t=125272
reng jin 	扔進	c=1 d=4.62609e-167 t=125272
reng ran 	仍然	c=1 d=8.19242e-214 t=125272
ri 	日	c=56 d=0.560447 t=125272
ri ban 	日版	c=1 d=4.48154e-29 t=125272
ri ben 	日本	c=12 d=7.58537e-14 t=125272
ri ben ren 	日本人	c=2 d=2.42587e-14 t=125272
ri chang 	日常	c=4 d=4.48126e-87 t=125272
ri chang 	日昌	c=1 d=4.50372e-87 t=125272
ri er man 	日耳曼	c=2 d=4.48703e-14 t=125272
ri ji 	日記	c=13 d=2.92494e-28 t=125272
ri li 	日曆	c=4 d=1.85157e-08 t=125272
ri qi 	日期	c=14 d=1.30953e-11 t=125272
ri wen 	日文	c=1 d=7.80078e-79 t=125272
ri yong 	日用	c=5 d=2.91649e-128 t=125272
ri yu 	日語	c=13 d=1.218e-26 t=125272
ri yu ban 	日於半	c=1 d=4.33288e-132 t=125272
ri yu shu 	日語書	c=2 d=2.1863e-26 t=125272
ri zhi 	日誌	c=6 d=0.767891 t=125272
ri zi 	日子	c=8 d=2.20703e-35 t=125272
rong 	容	c=1 d=8.72294e-70 t=125272
rong 	榮	c=1 d=1.10316e-243 t=125272
rong gui 	榮歸	c=1 d=1.74974e-170 t=125272
rong he 	融合	c=4 d=0.0275983 t=125272
rong hua 	融化	c=2 d=3.72314e-163 t=125272
rong yi 	容易	c=22 d=3.16196e-14 t=125272
rong yi xiang 	容易想	c=1 d=6.97394e-55 t=125272
rou 	揉	c=2 d=3.05837e-21 t=125272
rou 	肉	c=14 d=0.43852 t=125272
rou chang 	肉償	c=1 d=3.62711e-11 t=125272
